
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=44328
T,v(1)
 0.0000000000000000E+000, 8.6800744651631212E-001
 1.0000000000000003E-011, 8.6757347331156343E-001
 2.0000000000000005E-011, 8.6713950010681473E-001
 4.0000000000000011E-011, 8.6627155369731745E-001
 8.0000000000000021E-011, 8.6453566087832268E-001
 1.6000000000000004E-010, 8.6106387524033323E-001
 3.2000000000000008E-010, 8.5412030396435434E-001
 6.4000000000000017E-010, 8.4023316141239657E-001
 1.0000000000000001E-009, 8.2461012604144412E-001
 1.0640000000000000E-009, 7.8927701651051363E-001
 1.1920000000000000E-009, 7.1861079744865264E-001
 1.4480000000000002E-009, 5.7727835932493055E-001
 1.9600000000000003E-009, 2.9461348307748647E-001
 2.0000000000000001E-009, 2.7253028962065495E-001
 2.0799999999999998E-009, 2.6247383037812438E-001
 2.2399999999999993E-009, 2.4236091189306327E-001
 2.5599999999999982E-009, 2.0213507492294103E-001
 3.0000000000000000E-009, 1.4682454908902254E-001
 3.0639999999999998E-009, 1.9218335520493135E-001
 3.1919999999999993E-009, 2.8290096743674964E-001
 3.4479999999999984E-009, 4.6433619190038627E-001
 3.9599999999999971E-009, 8.2720664082765971E-001
 4.0000000000000002E-009, 8.5555589465010540E-001
 4.0800000000000066E-009, 8.0927762688069949E-001
 4.2400000000000193E-009, 7.1672109134188777E-001
 4.5600000000000446E-009, 5.3160802026426457E-001
 5.0000000000000001E-009, 2.7707754753257852E-001
 5.0640000000000048E-009, 2.7484505752739019E-001
 5.1920000000000152E-009, 2.7038007751701354E-001
 5.4480000000000358E-009, 2.6145011749626024E-001
 5.9600000000000762E-009, 2.4359019745475369E-001
 6.0000000000000000E-009, 2.4219489120151375E-001
 6.0799999999998475E-009, 2.6601886043881051E-001
 6.2399999999995425E-009, 3.1366679891340460E-001
 6.5599999999989326E-009, 4.0896267586259272E-001
 6.9999999999999998E-009, 5.3999450666829407E-001
 7.0639999999998780E-009, 5.6432142094175453E-001
 7.1919999999996344E-009, 6.1297524948867577E-001
 7.4479999999991463E-009, 7.1028290658251780E-001
 7.9599999999981701E-009, 9.0489822077020188E-001
 8.0000000000000005E-009, 9.2010254219183940E-001
 8.0800000000036613E-009, 9.1850337229522394E-001
 8.2400000000109830E-009, 9.1530503250199313E-001
 8.5600000000256263E-009, 9.0890835291553129E-001
 8.9999999999999995E-009, 9.0011291848506114E-001
 9.0640000000029275E-009, 8.6019568468093488E-001
 9.1920000000087852E-009, 7.8036121707267914E-001
 9.4480000000205005E-009, 6.2069228185616765E-001
 9.9600000000439294E-009, 3.0135441142314578E-001
 1.0000000000000000E-008, 2.7640614032410660E-001
 1.0079999999912142E-008, 3.0763023770489756E-001
 1.0239999999736425E-008, 3.7007843246647953E-001
 1.0559999999384991E-008, 4.9497482198964338E-001
 1.0999999999999999E-008, 6.6670735801263403E-001
 1.1063999999929712E-008, 6.2617487110381298E-001
 1.1191999999789139E-008, 5.4510989728616643E-001
 1.1447999999507992E-008, 3.8297994965087340E-001
 1.1959999998945698E-008, 5.8720054380288378E-002
 1.2000000000000000E-008, 3.3387249366741978E-002
 1.2080000002108604E-008, 7.3505662240929998E-002
 1.2240000006325812E-008, 1.5374248798930976E-001
 1.2560000014760227E-008, 3.1421613948606930E-001
 1.3000000000000001E-008, 5.3486739707632680E-001
 1.3064000001686883E-008, 5.0593291955353026E-001
 1.3192000005060650E-008, 4.4806396450793629E-001
 1.3448000011808183E-008, 3.3232605441674845E-001
 1.3960000025303247E-008, 1.0085023423437345E-001
 1.4000000000000000E-008, 8.2766197698905086E-002
 1.4079999949393505E-008, 9.3057032584417762E-002
 1.4239999848180515E-008, 1.1363870235544493E-001
 1.4559999645754535E-008, 1.5480204189749930E-001
 1.4999999999999999E-008, 2.1140171514023212E-001
 1.5063999959514801E-008, 2.1200524880184554E-001
 1.5191999878544410E-008, 2.1321231612507163E-001
 1.5447999716603628E-008, 2.1562645077152379E-001
 1.5959999392722060E-008, 2.2045472006442812E-001
 1.6000000000000001E-008, 2.2083193456831568E-001
 1.6080001214555883E-008, 2.3272456789152818E-001
 1.6240003643667648E-008, 2.5650983453795317E-001
 1.6560008501891178E-008, 3.0408036783080317E-001
 1.7000000000000000E-008, 3.6948759422589800E-001
 1.7064000971644705E-008, 3.9732089742536847E-001
 1.7192002914934116E-008, 4.5298750382430936E-001
 1.7448006801512940E-008, 5.6432071662219263E-001
 1.7960014574670589E-008, 7.8698714221795918E-001
 1.7999999999999999E-008, 8.0437635425885656E-001
 1.8079970850658818E-008, 7.4983158234278768E-001
 1.8239912551976456E-008, 6.4074203851064260E-001
 1.8559795954611733E-008, 4.2256295084635226E-001
 1.9000000000000001E-008, 1.2231818597979671E-001
 1.9063976680527055E-008, 1.1482654734390373E-001
 1.9191930041581167E-008, 9.9843270072117324E-002
 1.9447836763689389E-008, 6.9876715528544506E-002
 1.9959650207905831E-008, 9.9436064413992581E-003
 2.0000000000000000E-008, 5.2186651203955242E-003
