
Label=v(12) vs T
LabelX=T
LabelY=v(12)
Data Point Count=22050
T,v(12)
 0.0000000000000000E+000, 8.3483782800963435E-001
 1.0000000000000002E-010, 8.2719486299486189E-001
 2.0000000000000003E-010, 8.1955189798008943E-001
 4.0000000000000007E-010, 8.0426596795054606E-001
 8.0000000000000013E-010, 7.7369410789145643E-001
 1.6000000000000003E-009, 7.1255038777327917E-001
 3.2000000000000005E-009, 5.9026294753692410E-001
 6.4000000000000011E-009, 3.4568806706421179E-001
 1.0000000000000000E-008, 7.0541326532411922E-002
 1.0640000000000000E-008, 5.0895665890511602E-002
 1.1920000000000000E-008, 1.1604344606710251E-002
 1.4480000000000001E-008,-6.6978297960892455E-002
 1.9600000000000003E-008,-2.2414358309609714E-001
 2.0000000000000000E-008,-2.3642212099728455E-001
 2.0799999999999994E-008,-2.1494357143407559E-002
 2.2399999999999982E-008, 4.0836117056434790E-001
 2.5599999999999958E-008, 1.2680722259798587E+000
 3.0000000000000004E-008, 2.4501749271762061E+000
 3.0640000000000002E-008, 2.2358525936430440E+000
 3.1919999999999991E-008, 1.8072079265767178E+000
 3.4479999999999969E-008, 9.4991859244406895E-001
 3.9599999999999931E-008,-7.6466007582123285E-001
 4.0000000000000001E-008,-8.9861153427948381E-001
 4.0800000000000140E-008,-7.7849763631721425E-001
 4.2400000000000419E-008,-5.3826984039267667E-001
 4.5600000000000977E-008,-5.7814248543601537E-002
 5.0000000000000004E-008, 6.0281219024861266E-001
 5.0640000000000115E-008, 5.7145943572885827E-001
 5.1920000000000335E-008, 5.0875392668934660E-001
 5.4480000000000783E-008, 3.8334290861032461E-001
 5.9600000000001679E-008, 1.3252087245227856E-001
 6.0000000000000008E-008, 1.1292540087751597E-001
 6.0799999999996667E-008, 5.3038383383527753E-002
 6.2399999999989984E-008,-6.6735651604450844E-002
 6.5599999999976619E-008,-3.0628372158040590E-001
 7.0000000000000005E-008,-6.3566231780047155E-001
 7.0639999999997329E-008,-6.0558365424297955E-001
 7.1919999999991978E-008,-5.4542632712799421E-001
 7.4479999999981288E-008,-4.2511167289802199E-001
 7.9599999999959910E-008,-1.8448236443807750E-001
 8.0000000000000002E-008,-1.6568319971268103E-001
 8.0800000000080186E-008,-3.0441447509087106E-002
 8.2400000000240554E-008, 2.4004205689810143E-001
 8.5600000000561291E-008, 7.8100906571247919E-001
 8.9999999999999999E-008, 1.5248387026628054E+000
 9.0640000000064146E-008, 1.3434151049723542E+000
