
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=13005
T,v(1)
 0.0000000000000000E+000, 4.8713644825586710E-001
 1.0000000000000002E-010, 4.8718124942777791E-001
 2.0000000000000003E-010, 4.8722605059968871E-001
 4.0000000000000007E-010, 4.8731565294351020E-001
 8.0000000000000013E-010, 4.8749485763115324E-001
 1.6000000000000003E-009, 4.8785326700643938E-001
 3.2000000000000005E-009, 4.8857008575701161E-001
 6.4000000000000011E-009, 4.9000372325815605E-001
 1.2800000000000002E-008, 4.9287099826044495E-001
 2.2800000000000002E-008, 4.9735111545152133E-001
 3.2800000000000003E-008, 5.0183123264259777E-001
 4.2799999999999999E-008, 5.0631134983367410E-001
 5.2799999999999996E-008, 5.1079146702475053E-001
 6.2799999999999993E-008, 5.1527158421582686E-001
 7.2799999999999990E-008, 5.1975170140690330E-001
 8.2799999999999987E-008, 5.2423181859797963E-001
 9.2799999999999984E-008, 5.2871193578905606E-001
 1.0000000000000001E-007, 5.3193762016663104E-001
 1.0100000000000000E-007, 5.3429822687459938E-001
 1.0300000000000001E-007, 5.3901944029053617E-001
 1.0700000000000001E-007, 5.4846186712240974E-001
 1.1500000000000001E-007, 5.6734672078615678E-001
 1.2500000000000002E-007, 5.9095278786584060E-001
 1.3500000000000003E-007, 6.1455885494552454E-001
 1.4500000000000004E-007, 6.3816492202520836E-001
 1.5500000000000005E-007, 6.6177098910489218E-001
 1.6500000000000006E-007, 6.8537705618457601E-001
 1.7500000000000007E-007, 7.0898312326425994E-001
 1.8500000000000008E-007, 7.3258919034394376E-001
 1.9500000000000009E-007, 7.5619525742362770E-001
 2.0000000000000002E-007, 7.6799829096346939E-001
 2.0100000000000001E-007, 7.6905575731681264E-001
 2.0300000000000000E-007, 7.7117069002349925E-001
 2.0700000000000001E-007, 7.7540055543687247E-001
 2.1500000000000001E-007, 7.8386028626361892E-001
 2.2500000000000002E-007, 7.9443494979705198E-001
 2.3500000000000003E-007, 8.0500961333048493E-001
 2.4500000000000004E-007, 8.1558427686391799E-001
 2.5500000000000005E-007, 8.2615894039735105E-001
 2.6500000000000006E-007, 8.3673360393078411E-001
 2.7500000000000007E-007, 8.4730826746421717E-001
 2.8500000000000008E-007, 8.5788293099765012E-001
 2.9500000000000009E-007, 8.6845759453108318E-001
 2.9999999999999999E-007, 8.7374492629779965E-001
 3.0100000000000001E-007, 8.7339548936429945E-001
 3.0300000000000000E-007, 8.7269661549729916E-001
 3.0699999999999998E-007, 8.7129886776329846E-001
 3.1500000000000000E-007, 8.6850337229529717E-001
 3.2500000000000001E-007, 8.6500900296029548E-001
 3.3500000000000002E-007, 8.6151463362529379E-001
 3.4500000000000003E-007, 8.5802026429029210E-001
 3.5500000000000004E-007, 8.5452589495529041E-001
 3.6500000000000005E-007, 8.5103152562028872E-001
 3.7500000000000006E-007, 8.4753715628528703E-001
 3.8500000000000007E-007, 8.4404278695028534E-001
 3.9500000000000008E-007, 8.4054841761528365E-001
 4.0000000000000003E-007, 8.3880123294778286E-001
 4.0100000000000006E-007, 8.3465712454603713E-001
 4.0300000000000005E-007, 8.2636890774254579E-001
 4.0700000000000003E-007, 8.0979247413556332E-001
 4.1500000000000005E-007, 7.7663960692159795E-001
 4.2500000000000006E-007, 7.3519852290414134E-001
 4.3500000000000007E-007, 6.9375743888668473E-001
 4.4500000000000008E-007, 6.5231635486922812E-001
 4.5500000000000009E-007, 6.1087527085177151E-001
 4.6500000000000010E-007, 5.6943418683431490E-001
 4.7500000000000011E-007, 5.2799310281685830E-001
 4.8500000000000012E-007, 4.8655201879940169E-001
 4.9500000000000013E-007, 4.4511093478194502E-001
 4.9999999999999998E-007, 4.2439039277321738E-001
 5.0099999999999995E-007, 4.2756981109042591E-001
 5.0299999999999999E-007, 4.3392864772484480E-001
 5.0699999999999997E-007, 4.4664632099368229E-001
 5.1499999999999994E-007, 4.7208166753135727E-001
 5.2499999999999995E-007, 5.0387585070345120E-001
 5.3499999999999996E-007, 5.3567003387554513E-001
 5.4499999999999997E-007, 5.6746421704763905E-001
 5.5499999999999998E-007, 5.9925840021973298E-001
 5.6499999999999999E-007, 6.3105258339182679E-001
 5.7500000000000000E-007, 6.6284676656392072E-001
 5.8500000000000001E-007, 6.9464094973601465E-001
 5.9500000000000002E-007, 7.2643513290810857E-001
 5.9999999999999997E-007, 7.4233222449415537E-001
 6.0099999999999994E-007, 7.4004058961760344E-001
 6.0299999999999999E-007, 7.3545731986449803E-001
 6.0699999999999997E-007, 7.2629078035828754E-001
 6.1499999999999994E-007, 7.0795770134586655E-001
 6.2499999999999995E-007, 6.8504135258034027E-001
 6.3499999999999996E-007, 6.6212500381481398E-001
 6.4499999999999997E-007, 6.3920865504928759E-001
 6.5499999999999998E-007, 6.1629230628376130E-001
 6.6499999999999999E-007, 5.9337595751823502E-001
 6.7500000000000000E-007, 5.7045960875270862E-001
 6.8500000000000001E-007, 5.4754325998718234E-001
 6.9500000000000002E-007, 5.2462691122165606E-001
 6.9999999999999997E-007, 5.1316873683889297E-001
 7.0099999999999994E-007, 5.1484206671346144E-001
 7.0299999999999998E-007, 5.1818872646259939E-001
 7.0699999999999996E-007, 5.2488204596087507E-001
 7.1499999999999993E-007, 5.3826868495742641E-001
 7.2499999999999994E-007, 5.5500198370311571E-001
 7.3499999999999995E-007, 5.7173528244880500E-001
 7.4499999999999996E-007, 5.8846858119449430E-001
 7.5499999999999997E-007, 6.0520187994018348E-001
 7.6499999999999998E-007, 6.2193517868587278E-001
 7.7499999999999999E-007, 6.3866847743156208E-001
 7.8500000000000000E-007, 6.5540177617725137E-001
 7.9500000000000001E-007, 6.7213507492294067E-001
 8.0000000000000007E-007, 6.8050172429578537E-001
 8.0100000000000004E-007, 6.7647114474929060E-001
 8.0300000000000008E-007, 6.6840998565630050E-001
 8.0700000000000007E-007, 6.5228766747032074E-001
 8.1500000000000003E-007, 6.2004303109836134E-001
 8.2500000000000004E-007, 5.7973723563341173E-001
 8.3500000000000005E-007, 5.3943144016846223E-001
 8.4500000000000006E-007, 4.9912564470351273E-001
 8.5500000000000007E-007, 4.5881984923856312E-001
 8.6500000000000008E-007, 4.1851405377361361E-001
 8.7500000000000009E-007, 3.7820825830866411E-001
 8.8500000000000010E-007, 3.3790246284371456E-001
 8.9500000000000011E-007, 2.9759666737876500E-001
 9.0000000000000007E-007, 2.7744376964629047E-001
 9.0100000000000003E-007, 2.7540940580462059E-001
 9.0300000000000008E-007, 2.7134067812128054E-001
 9.0700000000000006E-007, 2.6320322275460067E-001
 9.1500000000000003E-007, 2.4692831202124099E-001
 9.2500000000000004E-007, 2.2658467360454126E-001
 9.3500000000000005E-007, 2.0624103518784154E-001
 9.4500000000000006E-007, 1.8589739677114181E-001
 9.5499999999999996E-007, 1.6555375835444230E-001
 9.6499999999999987E-007, 1.4521011993774277E-001
 9.7499999999999977E-007, 1.2486648152104327E-001
 9.8499999999999967E-007, 1.0452284310434376E-001
 9.9499999999999958E-007, 8.4179204687644255E-002
 9.9999999999999995E-007, 7.4007385479293641E-002
 1.0010000000000000E-006, 8.0960112308113938E-002
 1.0030000000000000E-006, 9.4865565965756876E-002
 1.0070000000000001E-006, 1.2267647328104425E-001
 1.0150000000000000E-006, 1.7829828791161750E-001
 1.0249999999999999E-006, 2.4782555619983374E-001
 1.0349999999999998E-006, 3.1735282448804991E-001
 1.0449999999999997E-006, 3.8688009277626617E-001
 1.0549999999999996E-006, 4.5640736106448238E-001
 1.0649999999999995E-006, 5.2593462935269852E-001
 1.0749999999999994E-006, 5.9546189764091484E-001
 1.0849999999999994E-006, 6.6498916592913104E-001
 1.0949999999999993E-006, 7.3451643421734725E-001
 1.1000000000000001E-006, 7.6928006836146123E-001
 1.1010000000000001E-006, 7.6545915097506612E-001
 1.1030000000000001E-006, 7.5781731620227666E-001
 1.1070000000000002E-006, 7.4253364665669697E-001
 1.1150000000000001E-006, 7.1196630756553825E-001
 1.1250000000000000E-006, 6.7375713370159018E-001
 1.1349999999999999E-006, 6.3554795983764212E-001
 1.1449999999999998E-006, 5.9733878597369405E-001
 1.1549999999999997E-006, 5.5912961210974599E-001
 1.1649999999999996E-006, 5.2092043824579792E-001
 1.1749999999999995E-006, 4.8271126438184980E-001
 1.1849999999999995E-006, 4.4450209051790174E-001
 1.1949999999999994E-006, 4.0629291665395362E-001
 1.1999999999999999E-006, 3.8718832972197714E-001
 1.2010000000000000E-006, 3.8378460036011885E-001
 1.2030000000000000E-006, 3.7697714163640311E-001
 1.2070000000000000E-006, 3.6336222418897096E-001
 1.2150000000000000E-006, 3.3613238929410727E-001
 1.2249999999999999E-006, 3.0209509567552795E-001
 1.2349999999999998E-006, 2.6805780205694851E-001
 1.2449999999999997E-006, 2.3402050843836916E-001
 1.2549999999999996E-006, 1.9998321481978978E-001
 1.2649999999999995E-006, 1.6594592120121041E-001
 1.2749999999999994E-006, 1.3190862758263106E-001
 1.2849999999999993E-006, 9.7871333964051677E-002
 1.2949999999999992E-006, 6.3834040345472298E-002
 1.3000000000000000E-006, 4.6815393536179695E-002
 1.3010000000000001E-006, 4.7889034699545356E-002
 1.3030000000000001E-006, 5.0036317026276450E-002
 1.3070000000000001E-006, 5.4330881679738867E-002
 1.3150000000000001E-006, 6.2920010986663472E-002
 1.3250000000000000E-006, 7.3656422620319170E-002
 1.3349999999999999E-006, 8.4392834253974869E-002
 1.3449999999999998E-006, 9.5129245887630567E-002
 1.3549999999999997E-006, 1.0586565752128627E-001
 1.3649999999999996E-006, 1.1660206915494196E-001
 1.3749999999999995E-006, 1.2733848078859766E-001
 1.3849999999999994E-006, 1.3807489242225335E-001
 1.3949999999999993E-006, 1.4881130405590906E-001
 1.3999999999999999E-006, 1.5417950987273760E-001
 1.4010000000000000E-006, 1.5457502975554668E-001
 1.4030000000000000E-006, 1.5536606952116452E-001
 1.4070000000000000E-006, 1.5694814905240023E-001
 1.4150000000000000E-006, 1.6011230811487162E-001
 1.4249999999999999E-006, 1.6406750694296082E-001
 1.4349999999999998E-006, 1.6802270577105002E-001
 1.4449999999999997E-006, 1.7197790459913923E-001
 1.4549999999999996E-006, 1.7593310342722843E-001
 1.4649999999999995E-006, 1.7988830225531763E-001
 1.4749999999999994E-006, 1.8384350108340683E-001
 1.4849999999999993E-006, 1.8779869991149603E-001
 1.4949999999999992E-006, 1.9175389873958523E-001
 1.5000000000000000E-006, 1.9373149815363017E-001
 1.5010000000000001E-006, 1.9807947019867581E-001
 1.5030000000000001E-006, 2.0677541428876617E-001
 1.5070000000000001E-006, 2.2416730246894784E-001
 1.5150000000000001E-006, 2.5895107882931023E-001
 1.5250000000000000E-006, 3.0243079927976296E-001
 1.5349999999999999E-006, 3.4591051973021569E-001
 1.5449999999999998E-006, 3.8939024018066848E-001
 1.5549999999999997E-006, 4.3286996063112115E-001
 1.5649999999999996E-006, 4.7634968108157394E-001
 1.5749999999999995E-006, 5.1982940153202661E-001
 1.5849999999999994E-006, 5.6330912198247940E-001
 1.5949999999999993E-006, 6.0678884243293219E-001
 1.6000000000000001E-006, 6.2852870265816230E-001
 1.6010000000000002E-006, 6.2473677785576931E-001
 1.6030000000000002E-006, 6.1715292825098422E-001
 1.6070000000000002E-006, 6.0198522904141327E-001
 1.6150000000000002E-006, 5.7164983062227226E-001
 1.6250000000000001E-006, 5.3373058259834616E-001
 1.6350000000000000E-006, 4.9581133457442000E-001
 1.6449999999999999E-006, 4.5789208655049390E-001
 1.6549999999999998E-006, 4.1997283852656775E-001
 1.6649999999999997E-006, 3.8205359050264165E-001
 1.6749999999999996E-006, 3.4413434247871555E-001
 1.6849999999999995E-006, 3.0621509445478945E-001
 1.6949999999999994E-006, 2.6829584643086335E-001
 1.7000000000000000E-006, 2.4933622241889791E-001
 1.7010000000000001E-006, 2.5039155247657691E-001
 1.7030000000000000E-006, 2.5250221259193678E-001
 1.7070000000000001E-006, 2.5672353282265681E-001
 1.7150000000000001E-006, 2.6516617328409664E-001
 1.7250000000000000E-006, 2.7571947386089640E-001
 1.7349999999999999E-006, 2.8627277443769616E-001
 1.7449999999999998E-006, 2.9682607501449587E-001
 1.7549999999999997E-006, 3.0737937559129563E-001
 1.7649999999999996E-006, 3.1793267616809540E-001
 1.7749999999999995E-006, 3.2848597674489510E-001
 1.7849999999999994E-006, 3.3903927732169487E-001
 1.7949999999999993E-006, 3.4959257789849463E-001
 1.8000000000000001E-006, 3.5486922818689537E-001
 1.8010000000000002E-006, 3.5535538804284805E-001
 1.8030000000000001E-006, 3.5632770775475325E-001
 1.8070000000000002E-006, 3.5827234717856388E-001
 1.8150000000000002E-006, 3.6216162602618490E-001
 1.8250000000000001E-006, 3.6702322458571124E-001
 1.8350000000000000E-006, 3.7188482314523752E-001
 1.8449999999999999E-006, 3.7674642170476380E-001
 1.8549999999999998E-006, 3.8160802026429014E-001
 1.8649999999999997E-006, 3.8646961882381642E-001
 1.8749999999999996E-006, 3.9133121738334276E-001
 1.8849999999999995E-006, 3.9619281594286904E-001
 1.8949999999999994E-006, 4.0105441450239532E-001
 1.9000000000000000E-006, 4.0348521378215879E-001
 1.9010000000000001E-006, 4.0800012207403730E-001
 1.9030000000000000E-006, 4.1702993865779509E-001
 1.9070000000000001E-006, 4.3508957182531155E-001
 1.9150000000000003E-006, 4.7120883816034453E-001
 1.9250000000000002E-006, 5.1635792107913425E-001
 1.9350000000000001E-006, 5.6150700399792397E-001
 1.9450000000000000E-006, 6.0665608691671380E-001
 1.9549999999999999E-006, 6.5180516983550363E-001
 1.9649999999999998E-006, 6.9695425275429335E-001
 1.9749999999999997E-006, 7.4210333567308306E-001
 1.9849999999999996E-006, 7.8725241859187278E-001
 1.9949999999999995E-006, 8.3240150151066261E-001
 1.9999999999999999E-006, 8.5497604297005947E-001
 2.0010000000000000E-006, 8.4772545548875644E-001
 2.0030000000000001E-006, 8.3322428052614050E-001
 2.0070000000000000E-006, 8.0422193060091174E-001
 2.0150000000000002E-006, 7.4621723075045110E-001
 2.0250000000000001E-006, 6.7371135593737752E-001
 2.0350000000000000E-006, 6.0120548112430394E-001
 2.0449999999999999E-006, 5.2869960631123047E-001
 2.0549999999999998E-006, 4.5619373149815695E-001
 2.0649999999999997E-006, 3.8368785668508343E-001
 2.0749999999999996E-006, 3.1118198187200996E-001
 2.0849999999999995E-006, 2.3867610705893638E-001
 2.0949999999999994E-006, 1.6617023224586291E-001
 2.1000000000000002E-006, 1.2991729483932002E-001
 2.1010000000000003E-006, 1.3514328440199019E-001
 2.1030000000000004E-006, 1.4559526352733052E-001
 2.1070000000000003E-006, 1.6649922177800894E-001
 2.1150000000000005E-006, 2.0830713827936798E-001
 2.1250000000000004E-006, 2.6056703390606517E-001
 2.1350000000000003E-006, 3.1282692953276225E-001
 2.1450000000000002E-006, 3.6508682515945945E-001
 2.1550000000000001E-006, 4.1734672078615664E-001
 2.1650000000000000E-006, 4.6960661641285373E-001
 2.1749999999999999E-006, 5.2186651203955092E-001
 2.1849999999999998E-006, 5.7412640766624801E-001
 2.1949999999999997E-006, 6.2638630329294520E-001
 2.2000000000000001E-006, 6.5251625110629596E-001
 2.2010000000000002E-006, 6.5433912167729746E-001
 2.2030000000000003E-006, 6.5798486281930035E-001
 2.2070000000000002E-006, 6.6527634510330536E-001
 2.2150000000000004E-006, 6.7985930967131625E-001
 2.2250000000000003E-006, 6.9808801538132914E-001
 2.2350000000000002E-006, 7.1631672109134215E-001
 2.2450000000000001E-006, 7.3454542680135515E-001
 2.2550000000000000E-006, 7.5277413251136804E-001
 2.2649999999999999E-006, 7.7100283822138105E-001
 2.2749999999999998E-006, 7.8923154393139405E-001
 2.2849999999999997E-006, 8.0746024964140695E-001
 2.2949999999999996E-006, 8.2568895535141995E-001
 2.3000000000000000E-006, 8.3480330820642723E-001
 2.3010000000000001E-006, 8.2806024353770513E-001
 2.3030000000000002E-006, 8.1457411420026105E-001
 2.3070000000000001E-006, 7.8760185552537565E-001
 2.3150000000000003E-006, 7.3365733817560197E-001
 2.3250000000000002E-006, 6.6622669148838698E-001
 2.3350000000000001E-006, 5.9879604480117210E-001
 2.3450000000000000E-006, 5.3136539811395722E-001
 2.3549999999999999E-006, 4.6393475142674223E-001
 2.3649999999999998E-006, 3.9650410473952724E-001
 2.3749999999999997E-006, 3.2907345805231236E-001
 2.3849999999999996E-006, 2.6164281136509737E-001
 2.3949999999999995E-006, 1.9421216467788249E-001
 2.3999999999999999E-006, 1.6049684133427211E-001
 2.4010000000000000E-006, 1.6587237159336951E-001
 2.4030000000000001E-006, 1.7662343211157461E-001
 2.4070000000000000E-006, 1.9812555314798255E-001
 2.4150000000000002E-006, 2.4112979522080075E-001
 2.4250000000000001E-006, 2.9488509781182171E-001
 2.4350000000000000E-006, 3.4864040040284272E-001
 2.4449999999999999E-006, 4.0239570299386374E-001
 2.4549999999999998E-006, 4.5615100558488475E-001
 2.4649999999999997E-006, 5.0990630817590576E-001
 2.4749999999999996E-006, 5.6366161076692678E-001
 2.4849999999999995E-006, 6.1741691335794768E-001
 2.4949999999999994E-006, 6.7117221594896870E-001
 2.5000000000000002E-006, 6.9804986724448381E-001
 2.5010000000000003E-006, 6.9751304666280101E-001
 2.5030000000000004E-006, 6.9643940549943528E-001
 2.5070000000000003E-006, 6.9429212317270417E-001
 2.5150000000000005E-006, 6.8999755851924183E-001
 2.5250000000000004E-006, 6.8462935270241387E-001
 2.5350000000000003E-006, 6.7926114688558603E-001
 2.5450000000000002E-006, 6.7389294106875819E-001
 2.5550000000000001E-006, 6.6852473525193035E-001
 2.5650000000000000E-006, 6.6315652943510250E-001
 2.5749999999999999E-006, 6.5778832361827466E-001
 2.5849999999999998E-006, 6.5242011780144671E-001
 2.5949999999999997E-006, 6.4705191198461887E-001
 2.6000000000000001E-006, 6.4436780907620472E-001
 2.6010000000000002E-006, 6.4111972411267415E-001
 2.6030000000000003E-006, 6.3462355418561289E-001
 2.6070000000000002E-006, 6.2163121433149182E-001
 2.6150000000000004E-006, 5.9564653462324824E-001
 2.6250000000000003E-006, 5.6316568498794484E-001
 2.6350000000000002E-006, 5.3068483535264144E-001
 2.6450000000000001E-006, 4.9820398571733804E-001
 2.6550000000000000E-006, 4.6572313608203464E-001
 2.6649999999999999E-006, 4.3324228644673124E-001
 2.6749999999999998E-006, 4.0076143681142784E-001
 2.6849999999999997E-006, 3.6828058717612444E-001
 2.6949999999999996E-006, 3.3579973754082104E-001
 2.7000000000000000E-006, 3.1955931272316801E-001
 2.7010000000000001E-006, 3.2315317239905883E-001
 2.7030000000000002E-006, 3.3034089175084619E-001
 2.7070000000000001E-006, 3.4471633045441952E-001
 2.7150000000000003E-006, 3.7346720786156762E-001
 2.7250000000000002E-006, 4.0940580462050158E-001
 2.7350000000000001E-006, 4.4534440137943559E-001
 2.7450000000000000E-006, 4.8128299813836961E-001
 2.7549999999999999E-006, 5.1722159489730357E-001
 2.7649999999999998E-006, 5.5316019165623753E-001
 2.7749999999999997E-006, 5.8909878841517149E-001
 2.7849999999999996E-006, 6.2503738517410556E-001
 2.7949999999999995E-006, 6.6097598193303952E-001
 2.7999999999999999E-006, 6.7894528031250800E-001
 2.8009999999999999E-006, 6.7379772331919485E-001
 2.8030000000000001E-006, 6.6350260933256122E-001
 2.8070000000000000E-006, 6.4291238135929607E-001
 2.8150000000000002E-006, 6.0173192541276355E-001
 2.8250000000000001E-006, 5.5025635547959950E-001
 2.8350000000000000E-006, 4.9878078554643546E-001
 2.8449999999999999E-006, 4.4730521561327141E-001
 2.8549999999999998E-006, 3.9582964568010742E-001
 2.8649999999999997E-006, 3.4435407574694338E-001
 2.8749999999999996E-006, 2.9287850581377933E-001
 2.8849999999999995E-006, 2.4140293588061534E-001
 2.8949999999999994E-006, 1.8992736594745130E-001
 2.9000000000000002E-006, 1.6418958098086489E-001
 2.9010000000000003E-006, 1.6618182927945813E-001
 2.9030000000000004E-006, 1.7016632587664463E-001
 2.9070000000000003E-006, 1.7813531907101679E-001
 2.9150000000000005E-006, 1.9407330545976192E-001
 2.9250000000000004E-006, 2.1399578844569273E-001
 2.9350000000000003E-006, 2.3391827143162353E-001
 2.9450000000000002E-006, 2.5384075441755433E-001
 2.9550000000000001E-006, 2.7376323740348513E-001
 2.9650000000000000E-006, 2.9368572038941593E-001
 2.9749999999999999E-006, 3.1360820337534673E-001
 2.9849999999999998E-006, 3.3353068636127753E-001
 2.9949999999999997E-006, 3.5345316934720833E-001
 3.0000000000000001E-006, 3.6341441084017456E-001
 3.0010000000000002E-006, 3.6243079927976313E-001
 3.0030000000000003E-006, 3.6046357615894020E-001
 3.0070000000000002E-006, 3.5652912991729474E-001
 3.0150000000000004E-006, 3.4866023743400348E-001
 3.0250000000000003E-006, 3.3882412182988975E-001
 3.0350000000000002E-006, 3.2898800622577595E-001
 3.0450000000000001E-006, 3.1915189062166216E-001
 3.0550000000000000E-006, 3.0931577501754842E-001
 3.0649999999999999E-006, 2.9947965941343468E-001
 3.0749999999999998E-006, 2.8964354380932089E-001
 3.0849999999999997E-006, 2.7980742820520710E-001
 3.0949999999999996E-006, 2.6997131260109336E-001
 3.1000000000000000E-006, 2.6505325479903608E-001
 3.1010000000000000E-006, 2.6409558397167915E-001
 3.1030000000000002E-006, 2.6218024231696546E-001
 3.1070000000000001E-006, 2.5834955900753837E-001
 3.1150000000000002E-006, 2.5068819238868389E-001
 3.1250000000000001E-006, 2.4111148411511601E-001
 3.1350000000000001E-006, 2.3153477584154819E-001
 3.1450000000000000E-006, 2.2195806756798037E-001
 3.1549999999999999E-006, 2.1238135929441251E-001
 3.1649999999999998E-006, 2.0280465102084466E-001
 3.1749999999999997E-006, 1.9322794274727684E-001
 3.1849999999999996E-006, 1.8365123447370899E-001
 3.1949999999999995E-006, 1.7407452620014113E-001
 3.2000000000000003E-006, 1.6928617206335642E-001
 3.2010000000000004E-006, 1.7567613757744119E-001
 3.2030000000000005E-006, 1.8845606860561076E-001
 3.2070000000000004E-006, 2.1401593066194718E-001
 3.2150000000000006E-006, 2.6513565477462270E-001
 3.2250000000000005E-006, 3.2903530991546509E-001
 3.2350000000000004E-006, 3.9293496505630748E-001
 3.2450000000000003E-006, 4.5683462019714982E-001
 3.2550000000000002E-006, 5.2073427533799221E-001
 3.2650000000000001E-006, 5.8463393047883461E-001
 3.2750000000000000E-006, 6.4853358561967700E-001
 3.2849999999999999E-006, 7.1243324076051939E-001
 3.2949999999999998E-006, 7.7633289590136179E-001
 3.3000000000000002E-006, 8.0828272347178565E-001
 3.3010000000000002E-006, 8.0818628498184153E-001
