
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=25005
T,v(1)
 0.0000E+000, 4.6458E-001
 5.0000E-011, 4.6704E-001
 1.0000E-010, 4.6950E-001
 2.0000E-010, 4.7442E-001
 4.0000E-010, 4.8426E-001
 8.0000E-010, 5.0394E-001
 1.6000E-009, 5.4330E-001
 3.2000E-009, 6.2202E-001
 6.4000E-009, 7.7946E-001
 1.0000E-008, 9.5657E-001
 1.0500E-008, 9.4071E-001
 1.1500E-008, 9.0899E-001
 1.3500E-008, 8.4554E-001
 1.7500E-008, 7.1864E-001
 2.0000E-008, 6.3933E-001
 2.0500E-008, 6.4113E-001
 2.1500E-008, 6.4471E-001
 2.3500E-008, 6.5188E-001
 2.7500E-008, 6.6623E-001
 3.0000E-008, 6.7519E-001
 3.0500E-008, 6.4818E-001
 3.1500E-008, 5.9415E-001
 3.3500E-008, 4.8610E-001
 3.7500E-008, 2.6999E-001
 4.0000E-008, 1.3492E-001
 4.0500E-008, 1.3288E-001
 4.1500E-008, 1.2880E-001
 4.3500E-008, 1.2064E-001
 4.7500E-008, 1.0432E-001
 5.0000E-008, 9.4119E-002
 5.0500E-008, 1.1840E-001
 5.1500E-008, 1.6695E-001
 5.3500E-008, 2.6405E-001
 5.7500E-008, 4.5826E-001
 6.0000E-008, 5.7964E-001
 6.0500E-008, 5.7058E-001
 6.1500E-008, 5.5246E-001
 6.3500E-008, 5.1621E-001
 6.7500E-008, 4.4372E-001
 7.0000E-008, 3.9842E-001
 7.0500E-008, 4.0460E-001
 7.1500E-008, 4.1696E-001
 7.3500E-008, 4.4168E-001
 7.7500E-008, 4.9112E-001
 8.0000E-008, 5.2202E-001
 8.0500E-008, 5.3063E-001
 8.1500E-008, 5.4784E-001
 8.3500E-008, 5.8227E-001
 8.7500E-008, 6.5114E-001
 9.0000E-008, 6.9417E-001
 9.0500E-008, 6.6951E-001
 9.1500E-008, 6.2017E-001
 9.3500E-008, 5.2150E-001
 9.7500E-008, 3.2415E-001
 1.0000E-007, 2.0081E-001
 1.0050E-007, 1.9857E-001
 1.0150E-007, 1.9407E-001
 1.0350E-007, 1.8509E-001
 1.0750E-007, 1.6712E-001
 1.1000E-007, 1.5589E-001
 1.1050E-007, 1.8471E-001
 1.1150E-007, 2.4234E-001
 1.1350E-007, 3.5761E-001
 1.1750E-007, 5.8815E-001
 1.2000E-007, 7.3223E-001
 1.2050E-007, 7.2455E-001
 1.2150E-007, 7.0919E-001
 1.2350E-007, 6.7847E-001
 1.2750E-007, 6.1703E-001
 1.3000E-007, 5.7863E-001
 1.3050E-007, 5.5537E-001
 1.3150E-007, 5.0885E-001
 1.3350E-007, 4.1581E-001
 1.3750E-007, 2.2974E-001
 1.4000E-007, 1.1344E-001
 1.4050E-007, 1.2706E-001
 1.4150E-007, 1.5430E-001
 1.4350E-007, 2.0879E-001
 1.4750E-007, 3.1777E-001
 1.5000E-007, 3.8588E-001
 1.5050E-007, 3.7361E-001
 1.5150E-007, 3.4908E-001
 1.5350E-007, 3.0003E-001
 1.5750E-007, 2.0192E-001
 1.6000E-007, 1.4060E-001
 1.6050E-007, 1.3619E-001
 1.6150E-007, 1.2738E-001
 1.6350E-007, 1.0976E-001
 1.6750E-007, 7.4519E-002
 1.7000E-007, 5.2492E-002
 1.7050E-007, 8.0476E-002
 1.7150E-007, 1.3644E-001
 1.7350E-007, 2.4838E-001
 1.7750E-007, 4.7225E-001
 1.8000E-007, 6.1217E-001
 1.8050E-007, 5.8536E-001
 1.8150E-007, 5.3175E-001
 1.8350E-007, 4.2453E-001
 1.8750E-007, 2.1008E-001
 1.9000E-007, 7.6052E-002
 1.9050E-007, 1.0572E-001
 1.9150E-007, 1.6506E-001
 1.9350E-007, 2.8374E-001
 1.9750E-007, 5.2110E-001
 2.0000E-007, 6.6945E-001
 2.0050E-007, 6.4565E-001
 2.0150E-007, 5.9803E-001
 2.0350E-007, 5.0280E-001
 2.0750E-007, 3.1234E-001
 2.1000E-007, 1.9330E-001
 2.1050E-007, 2.0522E-001
 2.1150E-007, 2.2905E-001
 2.1350E-007, 2.7672E-001
 2.1750E-007, 3.7204E-001
 2.2000E-007, 4.3162E-001
 2.2050E-007, 4.4107E-001
 2.2150E-007, 4.5996E-001
 2.2350E-007, 4.9774E-001
 2.2750E-007, 5.7331E-001
 2.3000E-007, 6.2053E-001
 2.3050E-007, 6.3160E-001
 2.3150E-007, 6.5374E-001
 2.3350E-007, 6.9803E-001
 2.3750E-007, 7.8659E-001
 2.4000E-007, 8.4194E-001
 2.4050E-007, 8.4058E-001
 2.4150E-007, 8.3786E-001
 2.4350E-007, 8.3242E-001
 2.4750E-007, 8.2153E-001
 2.5000E-007, 8.1472E-001
 2.5050E-007, 7.9804E-001
 2.5150E-007, 7.6467E-001
 2.5350E-007, 6.9793E-001
 2.5750E-007, 5.6446E-001
 2.6000E-007, 4.8103E-001
 2.6050E-007, 4.9405E-001
 2.6150E-007, 5.2009E-001
 2.6350E-007, 5.7216E-001
 2.6750E-007, 6.7630E-001
 2.7000E-007, 7.4139E-001
 2.7050E-007, 7.3646E-001
 2.7150E-007, 7.2660E-001
 2.7350E-007, 7.0687E-001
 2.7750E-007, 6.6743E-001
 2.8000E-007, 6.4278E-001
 2.8050E-007, 6.1114E-001
 2.8150E-007, 5.4785E-001
 2.8350E-007, 4.2128E-001
 2.8750E-007, 1.6813E-001
 2.9000E-007, 9.9185E-003
 2.9050E-007, 5.1344E-002
 2.9150E-007, 1.3420E-001
 2.9350E-007, 2.9990E-001
 2.9750E-007, 6.3131E-001
 3.0000E-007, 8.3844E-001
 3.0050E-007, 8.2806E-001
 3.0150E-007, 8.0730E-001
 3.0350E-007, 7.6578E-001
 3.0750E-007, 6.8274E-001
 3.1000E-007, 6.3085E-001
 3.1050E-007, 6.3513E-001
 3.1150E-007, 6.4369E-001
 3.1350E-007, 6.6082E-001
 3.1750E-007, 6.9507E-001
 3.2000E-007, 7.1648E-001
 3.2050E-007, 7.1476E-001
 3.2150E-007, 7.1130E-001
 3.2350E-007, 7.0439E-001
 3.2750E-007, 6.9057E-001
 3.3000E-007, 6.8194E-001
 3.3050E-007, 6.8713E-001
 3.3150E-007, 6.9753E-001
 3.3350E-007, 7.1833E-001
 3.3750E-007, 7.5992E-001
 3.4000E-007, 7.8591E-001
 3.4050E-007, 7.9514E-001
 3.4150E-007, 8.1359E-001
 3.4350E-007, 8.5049E-001
 3.4750E-007, 9.2430E-001
 3.5000E-007, 9.7043E-001
 3.5050E-007, 9.6865E-001
 3.5150E-007, 9.6509E-001
 3.5350E-007, 9.5798E-001
 3.5750E-007, 9.4376E-001
 3.6000E-007, 9.3487E-001
 3.6050E-007, 9.3641E-001
 3.6150E-007, 9.3948E-001
 3.6350E-007, 9.4563E-001
 3.6750E-007, 9.5792E-001
 3.7000E-007, 9.6561E-001
 3.7050E-007, 9.2568E-001
 3.7150E-007, 8.4584E-001
 3.7350E-007, 6.8615E-001
 3.7750E-007, 3.6676E-001
 3.8000E-007, 1.6715E-001
 3.8050E-007, 2.0796E-001
 3.8150E-007, 2.8959E-001
 3.8350E-007, 4.5285E-001
 3.8750E-007, 7.7936E-001
 3.9000E-007, 9.8343E-001
 3.9050E-007, 9.7751E-001
 3.9150E-007, 9.6567E-001
 3.9350E-007, 9.4199E-001
 3.9750E-007, 8.9464E-001
 4.0000E-007, 8.6505E-001
 4.0050E-007, 8.6926E-001
 4.0150E-007, 8.7768E-001
 4.0350E-007, 8.9453E-001
 4.0750E-007, 9.2822E-001
 4.1000E-007, 9.4928E-001
 4.1050E-007, 9.4425E-001
 4.1150E-007, 9.3418E-001
 4.1350E-007, 9.1405E-001
 4.1750E-007, 8.7379E-001
 4.2000E-007, 8.4863E-001
 4.2050E-007, 8.1502E-001
 4.2150E-007, 7.4782E-001
 4.2350E-007, 6.1340E-001
 4.2750E-007, 3.4457E-001
 4.3000E-007, 1.7655E-001
 4.3050E-007, 1.7617E-001
 4.3150E-007, 1.7540E-001
 4.3350E-007, 1.7386E-001
 4.3750E-007, 1.7078E-001
 4.4000E-007, 1.6886E-001
 4.4050E-007, 1.9047E-001
 4.4150E-007, 2.3368E-001
 4.4350E-007, 3.2011E-001
 4.4750E-007, 4.9297E-001
 4.5000E-007, 6.0100E-001
 4.5050E-007, 5.9921E-001
 4.5150E-007, 5.9563E-001
 4.5350E-007, 5.8846E-001
 4.5750E-007, 5.7413E-001
 4.6000E-007, 5.6517E-001
 4.6050E-007, 5.8330E-001
 4.6150E-007, 6.1954E-001
 4.6350E-007, 6.9204E-001
 4.6750E-007, 8.3702E-001
 4.7000E-007, 9.2764E-001
 4.7050E-007, 9.0453E-001
 4.7150E-007, 8.5830E-001
 4.7350E-007, 7.6584E-001
 4.7750E-007, 5.8092E-001
 4.8000E-007, 4.6535E-001
 4.8050E-007, 4.5740E-001
 4.8150E-007, 4.4150E-001
 4.8350E-007, 4.0971E-001
 4.8750E-007, 3.4612E-001
 4.9000E-007, 3.0638E-001
 4.9050E-007, 3.3766E-001
 4.9150E-007, 4.0023E-001
 4.9350E-007, 5.2537E-001
 4.9750E-007, 7.7564E-001
 5.0000E-007, 9.3207E-001
 5.0050E-007, 9.1421E-001
 5.0150E-007, 8.7851E-001
 5.0350E-007, 8.0710E-001
 5.0750E-007, 6.6429E-001
 5.1000E-007, 5.7503E-001
 5.1050E-007, 5.8064E-001
 5.1150E-007, 5.9187E-001
 5.1350E-007, 6.1432E-001
 5.1750E-007, 6.5922E-001
 5.2000E-007, 6.8728E-001
 5.2050E-007, 6.9910E-001
 5.2150E-007, 7.2275E-001
 5.2350E-007, 7.7006E-001
 5.2750E-007, 8.6467E-001
 5.3000E-007, 9.2380E-001
 5.3050E-007, 9.2281E-001
 5.3150E-007, 9.2083E-001
 5.3350E-007, 9.1687E-001
 5.3750E-007, 9.0896E-001
 5.4000E-007, 9.0402E-001
 5.4050E-007, 8.6708E-001
 5.4150E-007, 7.9319E-001
 5.4350E-007, 6.4542E-001
 5.4750E-007, 3.4988E-001
 5.5000E-007, 1.6517E-001
 5.5050E-007, 1.8007E-001
 5.5150E-007, 2.0987E-001
 5.5350E-007, 2.6947E-001
 5.5750E-007, 3.8868E-001
 5.6000E-007, 4.6318E-001
 5.6050E-007, 4.7819E-001
 5.6150E-007, 5.0822E-001
 5.6350E-007, 5.6829E-001
 5.6750E-007, 6.8841E-001
 5.7000E-007, 7.6348E-001
 5.7050E-007, 7.4845E-001
 5.7150E-007, 7.1838E-001
 5.7350E-007, 6.5824E-001
 5.7750E-007, 5.3796E-001
 5.8000E-007, 4.6278E-001
 5.8050E-007, 4.6539E-001
 5.8150E-007, 4.7062E-001
 5.8350E-007, 4.8106E-001
 5.8750E-007, 5.0195E-001
 5.9000E-007, 5.1500E-001
 5.9050E-007, 5.1704E-001
 5.9150E-007, 5.2113E-001
 5.9350E-007, 5.2931E-001
 5.9750E-007, 5.4567E-001
 6.0000E-007, 5.5589E-001
 6.0050E-007, 5.4794E-001
 6.0150E-007, 5.3204E-001
 6.0350E-007, 5.0022E-001
 6.0750E-007, 4.3660E-001
 6.1000E-007, 3.9683E-001
 6.1050E-007, 4.1773E-001
 6.1150E-007, 4.5951E-001
 6.1350E-007, 5.4308E-001
 6.1750E-007, 7.1023E-001
 6.2000E-007, 8.1469E-001
 6.2050E-007, 8.1118E-001
 6.2150E-007, 8.0416E-001
 6.2350E-007, 7.9012E-001
 6.2750E-007, 7.6205E-001
 6.3000E-007, 7.4450E-001
 6.3050E-007, 7.5173E-001
 6.3150E-007, 7.6618E-001
 6.3350E-007, 7.9509E-001
 6.3750E-007, 8.5290E-001
 6.4000E-007, 8.8903E-001
 6.4050E-007, 8.7968E-001
 6.4150E-007, 8.6097E-001
 6.4350E-007, 8.2355E-001
 6.4750E-007, 7.4870E-001
 6.5000E-007, 7.0193E-001
 6.5050E-007, 7.1077E-001
 6.5150E-007, 7.2845E-001
 6.5350E-007, 7.6382E-001
 6.5750E-007, 8.3457E-001
 6.6000E-007, 8.7878E-001
 6.6050E-007, 8.8167E-001
 6.6150E-007, 8.8746E-001
 6.6350E-007, 8.9902E-001
 6.6750E-007, 9.2215E-001
 6.7000E-007, 9.3661E-001
 6.7050E-007, 8.9941E-001
 6.7150E-007, 8.2501E-001
 6.7350E-007, 6.7621E-001
 6.7750E-007, 3.7860E-001
 6.8000E-007, 1.9260E-001
 6.8050E-007, 1.8554E-001
 6.8150E-007, 1.7143E-001
 6.8350E-007, 1.4320E-001
 6.8750E-007, 8.6741E-002
 6.9000E-007, 5.1454E-002
 6.9050E-007, 6.6268E-002
 6.9150E-007, 9.5895E-002
 6.9350E-007, 1.5515E-001
 6.9750E-007, 2.7366E-001
 7.0000E-007, 3.4773E-001
 7.0050E-007, 3.3436E-001
 7.0150E-007, 3.0761E-001
 7.0350E-007, 2.5413E-001
 7.0750E-007, 1.4715E-001
 7.1000E-007, 8.0294E-002
 7.1050E-007, 1.1624E-001
 7.1150E-007, 1.8814E-001
 7.1350E-007, 3.3193E-001
 7.1750E-007, 6.1951E-001
 7.2000E-007, 7.9925E-001
 7.2050E-007, 7.6179E-001
 7.2150E-007, 6.8686E-001
 7.2350E-007, 5.3702E-001
 7.2750E-007, 2.3733E-001
 7.3000E-007, 5.0020E-002
 7.3050E-007, 5.2614E-002
 7.3150E-007, 5.7802E-002
 7.3350E-007, 6.8178E-002
 7.3750E-007, 8.8931E-002
 7.4000E-007, 1.0190E-001
 7.4050E-007, 1.4445E-001
 7.4150E-007, 2.2956E-001
 7.4350E-007, 3.9977E-001
 7.4750E-007, 7.4018E-001
 7.5000E-007, 9.5294E-001
 7.5050E-007, 9.3637E-001
 7.5150E-007, 9.0323E-001
 7.5350E-007, 8.3694E-001
 7.5750E-007, 7.0437E-001
 7.6000E-007, 6.2151E-001
 7.6050E-007, 6.2672E-001
 7.6150E-007, 6.3715E-001
 7.6350E-007, 6.5801E-001
 7.6750E-007, 6.9972E-001
 7.7000E-007, 7.2579E-001
 7.7050E-007, 7.0242E-001
 7.7150E-007, 6.5568E-001
 7.7350E-007, 5.6219E-001
 7.7750E-007, 3.7523E-001
 7.8000E-007, 2.5837E-001
 7.8050E-007, 2.5037E-001
 7.8150E-007, 2.3436E-001
 7.8350E-007, 2.0236E-001
 7.8750E-007, 1.3834E-001
 7.9000E-007, 9.8331E-002
 7.9050E-007, 1.3555E-001
 7.9150E-007, 2.0999E-001
 7.9350E-007, 3.5886E-001
 7.9750E-007, 6.5661E-001
 8.0000E-007, 8.4271E-001
 8.0050E-007, 8.2977E-001
 8.0150E-007, 8.0390E-001
 8.0350E-007, 7.5215E-001
 8.0750E-007, 6.4866E-001
 8.1000E-007, 5.8397E-001
 8.1050E-007, 5.8656E-001
 8.1150E-007, 5.9175E-001
 8.1350E-007, 6.0212E-001
 8.1750E-007, 6.2286E-001
 8.2000E-007, 6.3582E-001
 8.2050E-007, 6.3189E-001
 8.2150E-007, 6.2401E-001
 8.2350E-007, 6.0826E-001
 8.2750E-007, 5.7677E-001
 8.3000E-007, 5.5708E-001
 8.3050E-007, 5.4681E-001
 8.3150E-007, 5.2625E-001
 8.3350E-007, 4.8515E-001
 8.3750E-007, 4.0293E-001
 8.4000E-007, 3.5154E-001
 8.4050E-007, 3.5536E-001
 8.4150E-007, 3.6300E-001
 8.4350E-007, 3.7827E-001
 8.4750E-007, 4.0881E-001
 8.5000E-007, 4.2790E-001
 8.5050E-007, 4.5235E-001
 8.5150E-007, 5.0124E-001
 8.5350E-007, 5.9902E-001
 8.5750E-007, 7.9458E-001
 8.6000E-007, 9.1681E-001
 8.6050E-007, 8.9620E-001
 8.6150E-007, 8.5497E-001
 8.6350E-007, 7.7253E-001
 8.6750E-007, 6.0765E-001
 8.7000E-007, 5.0459E-001
 8.7050E-007, 5.0197E-001
 8.7150E-007, 4.9671E-001
 8.7350E-007, 4.8621E-001
 8.7750E-007, 4.6520E-001
 8.8000E-007, 4.5207E-001
 8.8050E-007, 4.4714E-001
 8.8150E-007, 4.3728E-001
 8.8350E-007, 4.1756E-001
 8.8750E-007, 3.7812E-001
 8.9000E-007, 3.5347E-001
 8.9050E-007, 3.5022E-001
 8.9150E-007, 3.4371E-001
 8.9350E-007, 3.3071E-001
 8.9750E-007, 3.0471E-001
 9.0000E-007, 2.8846E-001
 9.0050E-007, 2.9675E-001
 9.0150E-007, 3.1331E-001
 9.0350E-007, 3.4645E-001
 9.0750E-007, 4.1272E-001
 9.1000E-007, 4.5415E-001
 9.1050E-007, 4.7547E-001
 9.1150E-007, 5.1812E-001
